Date,DXY,METALS,OIL,US_STK,INTL_STK,13W_TB,10Y_TBY,EURUSD
11/24/2015,-0.002705451,0.038946512,0.026826347,0.001339331,-0.000797956,0.457142857,-0.003111111,9.58556E-05
11/25/2015,0.00271279,-0.004117075,0.003965477,-0.000143206,0.001597092,0.14379085,-0.004904146,0.00017102
11/27/2015,0.002204349,-0.022628395,-0.030901487,0.001146382,-0.002392147,-0.085714286,-0.003136201,-0.003701668
11/30/2015,0.00149971,0.027382103,-0.001438504,-0.004151581,-0.003197445,0.0625,-0.003146067,-0.00202085
12/1/2015,-0.003693671,0.033369381,0.004801921,0.009535554,0.012028678,0.194117647,-0.028403968,-0.000951524
12/2/2015,0.001903757,-0.024114029,-0.045639188,-0.010204644,-0.009112243,-0.014778325,0.010672854,0.00500428
12/3/2015,-0.023702321,0.013536678,0.028542814,-0.014002896,-0.004398309,-0.01,0.069788797,-0.001209314
12/4/2015,0.007477924,0.05893583,-0.027020448,0.019502679,0.004417739,0.035353535,-0.02360515,0.028545154
12/7/2015,0.003152069,-0.053053092,-0.058043533,-0.006058372,-0.009196417,0.146341463,-0.021978022,-0.002927823
12/8/2015,-0.001925836,-0.017547527,-0.003718459,-0.006719549,-0.01372067,0.140425532,0.005842697,-0.004593899
12/9/2015,-0.011374053,0.015924209,-0.009330845,-0.007779732,-0.002864443,-0.085820896,-0.013404826,0.005534429
12/10/2015,0.006060647,0.003389113,-0.010764263,0.002581318,-0.001230799,-0.06122449,0.014039855,0.011381536
12/11/2015,-0.003777844,0.000844437,-0.03101197,-0.019381187,-0.019720737,-0.073913043,-0.044662796,-0.006338747
12/14/2015,0.000307451,-0.059902974,0.01937114,0.005052464,-0.000419019,-0.070422535,0.040205704,0.003272711
12/15/2015,0.00635249,0.002468028,0.028642247,0.010497644,0.009224363,0.262626263,0.019325843,0.000824841
12/16/2015,-0.003563409,0.045210407,-0.048995984,0.01463206,0.015371875,-0.06,0.008377425,-0.005162376
12/17/2015,0.014304628,-0.074732375,-0.016047297,-0.015238052,-0.007774406,-0.093617021,-0.021425448,-0.005643616
